Date,Transaction Description,Category,Amount,Type
2024-01-24,Drinks at local pub,Food & Drink,1050.23,Expense
2024-01-26,General travel transaction,Travel,1369.95,Expense
2024-01-12,Water services - City of Toronto,Utilities,1386.72,Expense
2024-02-07,General health & fitness transaction,Health & Fitness,1932.01,Expense
2024-02-23,Gas bill - Enbridge,Utilities,837.7,Expense
2024-02-28,Housing rental fee,Rent,777.89,Expense
2024-02-23,Apartment lease payment,Rent,705.31,Expense
2024-02-25,Drinks at local pub,Food & Drink,238.3,Expense
2024-02-29,General travel transaction,Travel,59.16,Expense
2024-02-10,Wages from Apple Inc.,Salary,1661.67,Expense
2024-02-19,Mobile phone plan - Bell Canada,Utilities,89.48,Expense
2024-02-24,Monthly salary - Google,Salary,1993.3,Expense
2024-02-21,Dinner at Carbone (fine dining),Food & Drink,1549.59,Expense
2024-02-27,Concert tickets - Drake,Entertainment,1809.95,Expense
2024-02-27,General health & fitness transaction,Health & Fitness,768.93,Expense
2024-02-21,General health & fitness transaction,Health & Fitness,155.03,Expense
2024-02-22,Broadway show tickets,Entertainment,1914.41,Expense
2024-02-14,Monthly rent payment to landlord,Rent,382.08,Expense
2024-02-14,General travel transaction,Travel,903.14,Expense
2024-02-24,General health & fitness transaction,Health & Fitness,668.82,Expense
2024-02-10,General health & fitness transaction,Health & Fitness,1512.66,Expense
2024-02-01,General travel transaction,Travel,1388.94,Expense
2024-02-21,General travel transaction,Travel,986.2,Expense
2024-03-30,Lunch at Chipotle,Food & Drink,953.24,Expense
2024-03-05,Concert tickets - Drake,Entertainment,647.42,Expense
2024-03-28,General travel transaction,Travel,1217.07,Expense
2024-03-07,Internet bill - Rogers,Utilities,57.27,Expense
2024-03-29,Freelance payment - Upwork,Salary,769.01,Expense
2024-03-02,General health & fitness transaction,Health & Fitness,1033.48,Expense
2024-03-08,Grocery run at Whole Foods,Food & Drink,184.17,Expense
2024-03-26,Lunch at Chipotle,Food & Drink,1404.76,Expense
2024-03-16,Grocery run at Whole Foods,Food & Drink,785.11,Expense
2024-03-13,Broadway show tickets,Entertainment,1822.86,Expense
2024-03-07,Clothing at Zara,Shopping,1296.66,Expense
2024-03-06,Apartment lease payment,Rent,419.1,Expense
2024-03-06,Lunch at Chipotle,Food & Drink,1257.6,Expense
2024-03-15,Paycheck from Amazon,Salary,1264.13,Expense
2024-03-30,Water services - City of Toronto,Utilities,1496.04,Expense
2024-03-06,Movie night at Cineplex,Entertainment,1731.25,Expense
2024-03-03,Paycheck from Amazon,Salary,97.26,Expense
2024-04-03,General travel transaction,Travel,1920.67,Expense
2024-04-26,General travel transaction,Travel,1718.84,Expense
2024-04-26,Housing rental fee,Rent,359.78,Expense
2024-04-08,Monthly rent payment to landlord,Rent,616.34,Expense
2024-04-21,Concert tickets - Drake,Entertainment,1427.28,Expense
2024-04-17,General travel transaction,Travel,1389.98,Expense
2024-04-09,General health & fitness transaction,Health & Fitness,431.36,Expense
2024-04-06,Internet bill - Rogers,Utilities,255.24,Expense
2024-04-09,Gas bill - Enbridge,Utilities,330.3,Expense
2024-04-16,Paycheck from Amazon,Salary,1903.56,Expense
2024-04-20,Water services - City of Toronto,Utilities,19.62,Expense
2024-04-11,Monthly rent payment to landlord,Rent,588.4,Expense
2024-04-17,Movie night at Cineplex,Entertainment,209.09,Expense
2024-04-22,General travel transaction,Travel,1681.82,Expense
2024-04-25,General health & fitness transaction,Health & Fitness,1551.79,Expense
2024-04-10,General travel transaction,Travel,396.71,Expense
2024-04-17,Concert tickets - Drake,Entertainment,642.39,Expense
2024-05-23,General health & fitness transaction,Health & Fitness,90.44,Expense
2024-05-26,Grocery run at Whole Foods,Food & Drink,1340.49,Expense
2024-05-04,Spotify Premium subscription,Entertainment,1813.54,Expense
2024-05-27,General health & fitness transaction,Health & Fitness,782.31,Expense
2024-05-25,Concert tickets - Drake,Entertainment,135.09,Expense
2024-05-03,Brunch at The Smith,Food & Drink,1627.16,Expense
2024-05-22,Gas bill - Enbridge,Utilities,1474.48,Expense
2024-05-17,Water services - City of Toronto,Utilities,1516.84,Expense
2024-05-31,Apartment lease payment,Rent,1410.44,Expense
2024-05-02,Apartment lease payment,Rent,1457.58,Expense
2024-05-14,Condo rent transfer,Rent,799.6,Expense
2024-05-05,General travel transaction,Travel,276.42,Expense
2024-05-15,Concert tickets - Drake,Entertainment,1697.48,Expense
2024-05-27,Lunch at Chipotle,Food & Drink,89.41,Expense
2024-05-04,Wages from Apple Inc.,Salary,1311.28,Expense
2024-06-21,Grocery run at Whole Foods,Food & Drink,1758.23,Expense
2024-06-06,Dinner at Carbone (fine dining),Food & Drink,1008.66,Expense
2024-06-23,Wages from Apple Inc.,Salary,1735.93,Expense
2024-06-13,General health & fitness transaction,Health & Fitness,1443.31,Expense
2024-06-23,Gas bill - Enbridge,Utilities,1451.13,Expense
2024-06-02,Housing rental fee,Rent,1038.16,Expense
2024-06-16,Takeout from Shake Shack,Food & Drink,1782.69,Expense
2024-06-22,General travel transaction,Travel,1895.04,Expense
2024-06-23,Paycheck from Amazon,Salary,1197.1,Expense
2024-06-21,Clothing at Zara,Shopping,1202.72,Expense
2024-06-12,Monthly rent payment to landlord,Rent,1325.61,Expense
2024-06-04,General health & fitness transaction,Health & Fitness,978.85,Expense
2024-06-02,Water services - City of Toronto,Utilities,759.55,Expense
2024-06-23,Water services - City of Toronto,Utilities,1250.19,Expense
2024-06-14,Electronics from Best Buy,Shopping,54.67,Expense
2024-06-03,Concert tickets - Drake,Entertainment,1037.58,Expense
2024-06-13,Paycheck from Amazon,Salary,963.25,Expense
2024-06-01,General travel transaction,Travel,1671.4,Expense
2024-07-13,Takeout from Shake Shack,Food & Drink,1398.31,Expense
2024-07-27,Monthly salary - Google,Salary,515.02,Expense
2024-07-27,Mobile phone plan - Bell Canada,Utilities,1711.45,Expense
2024-07-30,Monthly salary - Google,Salary,1852.46,Expense
2024-07-28,Broadway show tickets,Entertainment,898.72,Expense
2024-07-25,General health & fitness transaction,Health & Fitness,823.6,Expense
2024-07-26,Monthly salary - Google,Salary,365.65,Expense
2024-07-07,Housing rental fee,Rent,195.45,Expense
2024-07-07,Coffee at Starbucks,Food & Drink,1756.73,Expense
2024-07-29,Lunch at Chipotle,Food & Drink,329.87,Expense
2024-07-20,Housing rental fee,Rent,856.72,Expense
2024-07-07,Brunch at The Smith,Food & Drink,1794.97,Expense
2024-07-27,General health & fitness transaction,Health & Fitness,1550.65,Expense
2024-07-06,Electronics from Best Buy,Shopping,1654.76,Expense
2024-07-29,Lunch at Chipotle,Food & Drink,1610.7,Expense
2024-07-21,Spotify Premium subscription,Entertainment,1821.07,Expense
2024-07-26,Home goods at IKEA,Shopping,1133.69,Expense
2024-07-26,Shoes from Nike Store,Shopping,1512.39,Expense
2024-07-28,Internet bill - Rogers,Utilities,209.55,Expense
2024-07-29,General health & fitness transaction,Health & Fitness,1603.7,Expense
2024-08-22,Spotify Premium subscription,Entertainment,1216.66,Expense
2024-08-14,Monthly rent payment to landlord,Rent,1839.16,Expense
2024-08-01,Drinks at local pub,Food & Drink,1451.74,Expense
2024-08-25,Clothing at Zara,Shopping,1017.41,Expense
2024-08-02,Home goods at IKEA,Shopping,1231.79,Expense
2024-08-15,General health & fitness transaction,Health & Fitness,701.48,Expense
2024-08-27,Freelance payment - Upwork,Salary,1542.23,Expense
2024-08-14,Electronics from Best Buy,Shopping,712.72,Expense
2024-08-27,General travel transaction,Travel,1391.44,Expense
2024-08-14,Broadway show tickets,Entertainment,1040.31,Expense
2024-08-09,General health & fitness transaction,Health & Fitness,486.12,Expense
2024-08-03,General travel transaction,Travel,397.55,Expense
2024-08-08,Movie night at Cineplex,Entertainment,1234.23,Expense
2024-08-03,Wages from Apple Inc.,Salary,883.55,Expense
2024-08-28,Freelance payment - Upwork,Salary,1366.37,Expense
2024-08-28,Grocery run at Whole Foods,Food & Drink,969.12,Expense
2024-08-28,Amazon purchase,Shopping,1270.99,Expense
2024-08-25,General travel transaction,Travel,686.53,Expense
2024-08-30,Concert tickets - Drake,Entertainment,1602.32,Expense
2024-08-02,Coffee at Starbucks,Food & Drink,1891.97,Expense
2024-09-22,Water services - City of Toronto,Utilities,919.82,Expense
2024-09-26,General travel transaction,Travel,382.43,Expense
2024-09-06,Netflix subscription,Entertainment,1003.01,Expense
2024-09-08,Movie night at Cineplex,Entertainment,1671.53,Expense
2024-09-27,General health & fitness transaction,Health & Fitness,375.99,Expense
2024-09-17,General travel transaction,Travel,801.78,Expense
2024-09-18,Wages from Apple Inc.,Salary,1879.91,Expense
2024-09-05,General travel transaction,Travel,373.74,Expense
2024-09-25,Condo rent transfer,Rent,657.62,Expense
2024-09-24,Dinner at Carbone (fine dining),Food & Drink,1351.47,Expense
2024-09-17,General travel transaction,Travel,986.7,Expense
2024-09-05,Clothing at Zara,Shopping,1350.66,Expense
2024-09-27,Amazon purchase,Shopping,1404.42,Expense
2024-09-17,Gas bill - Enbridge,Utilities,117.75,Expense
2024-09-05,Apartment lease payment,Rent,1113.56,Expense
2024-09-16,General health & fitness transaction,Health & Fitness,989.76,Expense
2024-09-10,General health & fitness transaction,Health & Fitness,320.43,Expense
2024-09-01,General health & fitness transaction,Health & Fitness,1037.84,Expense
2024-09-26,General travel transaction,Travel,947.98,Expense
2024-09-15,Drinks at local pub,Food & Drink,1697.54,Expense
2024-10-23,Freelance payment - Upwork,Salary,1564.14,Expense
2024-10-24,Monthly salary - Google,Salary,833.84,Expense
2024-10-12,Broadway show tickets,Entertainment,1157.94,Expense
2024-10-17,Freelance payment - Upwork,Salary,1780.37,Expense
2024-10-03,Internet bill - Rogers,Utilities,951.24,Expense
2024-10-18,General travel transaction,Travel,932.87,Expense
2024-10-07,Grocery run at Whole Foods,Food & Drink,802.82,Expense
2024-10-21,General travel transaction,Travel,1214.72,Expense
2024-10-17,General health & fitness transaction,Health & Fitness,1349.65,Expense
2024-10-02,Shoes from Nike Store,Shopping,400.17,Expense
2024-10-11,General health & fitness transaction,Health & Fitness,1736.06,Expense
2024-10-21,General health & fitness transaction,Health & Fitness,640.59,Expense
2024-10-19,Shoes from Nike Store,Shopping,1266.23,Expense
2024-10-15,Mobile phone plan - Bell Canada,Utilities,1958.95,Expense
2024-10-10,General travel transaction,Travel,694.84,Expense
2024-10-01,Electronics from Best Buy,Shopping,566.46,Expense
2024-10-09,Housing rental fee,Rent,905.21,Expense
2024-10-02,General travel transaction,Travel,1610.13,Expense
2024-10-10,General health & fitness transaction,Health & Fitness,727.01,Expense
2024-10-21,Apartment lease payment,Rent,167.43,Expense
2024-11-30,Wages from Apple Inc.,Salary,1456.94,Expense
2024-11-12,General travel transaction,Travel,466.42,Expense
2024-11-24,General travel transaction,Travel,831.68,Expense
2024-11-18,Mobile phone plan - Bell Canada,Utilities,694.33,Expense
2024-11-18,Coffee at Starbucks,Food & Drink,1378.66,Expense
2024-11-17,Spotify Premium subscription,Entertainment,1611.37,Expense
2024-11-25,Internet bill - Rogers,Utilities,281.88,Expense
2024-11-11,Condo rent transfer,Rent,1313.12,Expense
2024-11-03,Grocery run at Whole Foods,Food & Drink,62.47,Expense
2024-11-22,Amazon purchase,Shopping,795.56,Expense
2024-11-03,Monthly rent payment to landlord,Rent,136.95,Expense
2024-11-25,Wages from Apple Inc.,Salary,383.7,Expense
2024-11-19,Wages from Apple Inc.,Salary,606.22,Expense
2024-11-24,Condo rent transfer,Rent,850.26,Expense
2024-11-17,General travel transaction,Travel,1818.76,Expense
2024-11-11,Apartment lease payment,Rent,216.82,Expense
2024-11-16,Home goods at IKEA,Shopping,1051.69,Expense
2024-11-01,General travel transaction,Travel,1881.47,Expense
2024-11-20,General health & fitness transaction,Health & Fitness,385.26,Expense
2024-11-02,Condo rent transfer,Rent,429.04,Expense
2024-12-02,Internet bill - Rogers,Utilities,39.3,Expense
2024-12-28,Monthly rent payment to landlord,Rent,514.09,Expense
2024-12-11,Water services - City of Toronto,Utilities,121.52,Expense
2024-12-12,Condo rent transfer,Rent,1090.95,Expense
2024-12-29,Electronics from Best Buy,Shopping,655.78,Expense
2024-12-15,Monthly rent payment to landlord,Rent,1949.45,Expense
2024-12-19,Monthly rent payment to landlord,Rent,1047.07,Expense
2024-12-09,General health & fitness transaction,Health & Fitness,169.64,Expense
2024-12-19,Dinner at Carbone (fine dining),Food & Drink,406.37,Expense
2024-12-16,Clothing at Zara,Shopping,1544.74,Expense
2024-12-21,Monthly salary - Google,Salary,784.35,Expense
2024-12-28,Netflix subscription,Entertainment,727.25,Expense
2024-12-23,General health & fitness transaction,Health & Fitness,325.64,Expense
2024-12-05,Amazon purchase,Shopping,630.04,Expense
2024-12-06,General health & fitness transaction,Health & Fitness,932.73,Expense
